"Date","Price","Open","High","Low","Vol.","Change %"
"17-06-2025","22,981.50","23,126.80","23,128.50","22,959.15","2.95B","-0.49%"
"16-06-2025","23,095.05","22,914.85","23,106.70","22,789.40","2.35B","0.82%"
"13-06-2025","22,906.20","22,631.70","22,932.25","22,631.70","2.55B","-0.61%"
"12-06-2025","23,046.45","23,363.50","23,370.30","23,009.65","2.58B","-1.25%"
"11-06-2025","23,337.85","23,376.60","23,423.60","23,271.40","3.58B","-0.01%"
"10-06-2025","23,339.95","23,422.30","23,423.80","23,287.35","3.08B","0.04%"
"09-06-2025","23,330.55","23,308.65","23,335.35","23,254.55","3.18B","0.71%"
"06-06-2025","23,165.10","22,962.00","23,180.35","22,891.60","2.92B","1.01%"
"05-06-2025","22,934.50","22,879.20","23,026.30","22,828.85","2.55B","0.56%"
"04-06-2025","22,807.85","22,742.20","22,823.95","22,667.90","3.15B","0.43%"
"03-06-2025","22,711.30","22,906.20","22,946.15","22,691.25","4.54B","-0.54%"
"02-06-2025","22,834.50","22,758.60","22,863.35","22,664.15","3.89B","0.14%"
"30-05-2025","22,801.95","22,868.25","22,912.30","22,759.15","5.21B","-0.26%"
"29-05-2025","22,861.35","22,859.45","22,899.15","22,750.15","2.62B","0.36%"
"28-05-2025","22,779.40","22,843.25","22,871.20","22,765.70","3.30B","-0.16%"
"27-05-2025","22,816.50","22,895.05","22,963.10","22,721.80","2.47B","-0.40%"
"26-05-2025","22,908.30","22,852.70","22,970.70","22,845.40","2.49B","0.56%"
"23-05-2025","22,781.05","22,628.75","22,813.25","22,580.80","2.55B","0.82%"
"22-05-2025","22,595.00","22,674.00","22,675.35","22,464.45","2.45B","-0.60%"
"21-05-2025","22,730.65","22,632.40","22,811.95","22,577.40","2.42B","0.64%"
"20-05-2025","22,585.60","22,942.65","22,958.60","22,565.55","2.87B","-1.23%"
"19-05-2025","22,865.80","22,896.25","22,965.05","22,827.65","3.86B","-0.02%"
"16-05-2025","22,870.90","22,825.55","22,885.35","22,750.35","3.21B","0.36%"
"15-05-2025","22,788.80","22,547.05","22,814.10","22,408.65","2.88B","1.29%"
"14-05-2025","22,499.50","22,402.65","22,544.90","22,366.40","2.54B","0.67%"
"13-05-2025","22,349.40","22,491.50","22,575.70","22,317.50","2.59B","-0.72%"
"12-05-2025","22,511.40","22,149.40","22,525.00","22,126.40","2.95B","3.86%"
"09-05-2025","21,675.55","21,463.75","21,716.05","21,463.75","2.86B","-0.77%"
"08-05-2025","21,843.05","22,109.35","22,145.20","21,730.55","2.46B","-1.04%"
"07-05-2025","22,072.45","21,756.80","22,084.70","21,752.90","2.39B","0.53%"
"06-05-2025","21,956.60","22,235.60","22,244.50","21,916.90","2.38B","-1.07%"
"05-05-2025","22,195.15","22,086.25","22,209.95","22,070.95","1.82B","0.86%"
"02-05-2025","22,006.00","22,009.95","22,238.90","21,920.85","2.11B","-0.11%"
"30-04-2025","22,030.05","22,119.20","22,175.00","21,920.55","2.19B","-0.37%"
"29-04-2025","22,112.40","22,160.75","22,255.90","22,084.55","2.19B","0.05%"
"28-04-2025","22,101.85","21,843.45","22,125.45","21,841.40","2.03B","1.16%"
"25-04-2025","21,848.15","22,220.30","22,271.85","21,661.60","4.10B","-1.50%"
"24-04-2025","22,180.65","22,217.65","22,270.15","22,155.40","2.43B","-0.26%"
"23-04-2025","22,237.60","22,238.60","22,263.85","21,988.35","2.63B","0.69%"
"22-04-2025","22,085.15","22,072.00","22,157.95","21,953.40","2.84B","0.36%"
"21-04-2025","22,005.75","21,787.05","22,033.75","21,732.45","3.32B","1.50%"
"17-04-2025","21,681.55","21,379.35","21,704.10","21,296.35","2.45B","1.30%"
"16-04-2025","21,404.35","21,302.75","21,414.85","21,246.40","2.31B","0.59%"
"15-04-2025","21,279.40","21,199.05","21,302.75","21,067.60","2.31B","2.54%"
"11-04-2025","20,752.85","20,684.85","20,817.50","20,629.00","2.22B","1.95%"
"09-04-2025","20,356.75","20,422.95","20,423.25","20,252.35","2.07B","-0.61%"
"08-04-2025","20,480.80","20,430.10","20,588.40","20,227.15","2.41B","1.87%"
"07-04-2025","20,105.70","19,524.25","20,189.35","19,519.85","3.19B","-3.36%"
